SI.NO,PART NO,SKU Number,PART NAME,QUANTITY,LOCATION,CATEGORY CODE,SUB CATEGORY DIGIT,Item Number,Unique Serial,Description /Specifications,Storage Details,Product Dimensions (for shipping),Product Weight (GRAMS),Minimum Stock Level,Images / Links,User,Date ,Comments,Product Family,
119,,520041,UAV-R21-1-F(V9),10,K,5 Flight Controllers & Electronics,Electronic Boards,4,1,The Obstacle Avoidance Radar Sensor (UAV-R21-1) CAN is a cutting-edge sensor designed specifically for unmanned aerial vehicles (UAVs) to enhance their navigation capabilities and ensure safe flight operations. This sensor utilizes advanced radar technology to detect obstacles in the UAVâ€™s flight path and provide real-time data to the onboard flight control system.,,38cm x 44cm x 36cm,130,,https://drive.google.com/drive/folders/1bmCL--LMzRcl02oGCf75wMVtpO58mzdY,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
120,975979000003488001,520051,K3-APRO,0,M,5 Flight Controllers & Electronics,Electronic Boards,5,1,,,38cm x 44cm x 36cm,445,,,,,,EFT Parts,
121,,530011,CAN HYB-12,4,N,5 Flight Controllers & Electronics,Communication & Wi-Fi modules,1,1,"The CAN HUB-12 module is mainly a CAN interface expansion device developed for Jiyi â€™s new generation flight control K ++ and its peripheral supporting peripherals. It supports 6-14S power input, 12V CAN output, and 12V power output. The CAN HUB-12 interface has strong expandability. It integrates a step-down power supply and expansion interface into one, which is easy to use
",,38cm x 44cm x 36cm,97,,https://drive.google.com/drive/folders/1FKebmooRGWh_Vzl_Uzoo3RNbD79RDbH2,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
122,,520061,CONTROLLER MODULE (V9-AG-S) ,0,O,5 Flight Controllers & Electronics,Electronic Boards,6,1,"The V9 Flight Controller is a next-generation UAV control system designed specifically for agricultural applications. Featuring a high-speed processor, industrial-grade sensors, and enhanced stability algorithms, the V9 delivers reliable performance and seamless integration with various drone systems.",,38cm x 44cm x 36cm,730,,,,,,EFT Parts,
123,975979000003121019,#N/A,DRONE COMP. PROPELLER(3011 PROP CCW),45,P,7 Motors & Propellers,Propellers ,9,1,"The Hobbywing X8 Plus 3090 Propellers cw are high-performance propellers designed for drones and multirotors. With a counter clockwise (ccw) rotation, they ensure smooth and stable flight operations. These propellers feature a durable construction, making them suitable for both recreational and professional use.
Crafted from high-quality materials, the X8 Plus 3090 Propellers offer excellent durability and resistance to damage, ensuring long-lasting performance even in challenging conditions.",,38cm x 44cm x 36cm,210,,https://drive.google.com/drive/folders/1CkQhpamqH473KRRJ47wKGD1ker0dzptd,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
124,975979000005874025,#N/A,DRONE COMP. PROPELLER(3011 PROP CCW),45,Q,7 Motors & Propellers,Propellers ,10,1,"The Hobbywing X8 Plus 3090 Propellers cw are high-performance propellers designed for drones and multirotors. With a counter clockwise (cw) rotation, they ensure smooth and stable flight operations. These propellers feature a durable construction, making them suitable for both recreational and professional use.
Crafted from high-quality materials, the X8 Plus 3090 Propellers offer excellent durability and resistance to damage, ensuring long-lasting performance even in challenging conditions.",,38cm x 44cm x 36cm,210,,https://drive.google.com/drive/folders/17Ih4PL0EWYMxXspB_WDrPazo6QUTa48w,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
125,975979000002719001,820011,T12 only camera,75,T12 RACK,8 Remote Controls,Accessories,1,1,"The Skydroid T12 Remote Control combines data transmission, video transmission, and remote control functions, making it ideal for fixed-wing aircraft, drones, and intelligent robots.

The working frequency of Skydroid T12 is 2.4GHz, and the transmitting power is 100. Using FHSS technology and an omnidirectional high-gain antenna, the video and data transmission distance is about 10 kilometers. The remote control has a built-in, 4000mAh battery, and the working time is about 25 hours.",,65cm x 24cm x 56cm,1136,,https://drive.google.com/drive/folders/1IbH52DF-Oy5Ab3mXVcohgxWRKCIZnzD2,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
126,975979000003371036,160021,E16P 16L TANK RACK,12,E16P 16L TANK RACK,1 Mechanical,Tanks & Containers,2,1,"EFT 16L Tank and Battery Board for reliable and efficient agricultural drone operations. With its large capacity, robust design, and precise compatibility with EFT drone frames, it is an excellent choice for modern farming needs, offering unmatched durability and performance.",,52cm x 37cm x 27cm,2200,,https://drive.google.com/drive/folders/1_9BGKlyqy6qDndpIzCK1A8jn5vakwZ4c,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
127,,910031,E610P AIR FRAME,6,P5 & P6,9 Frames & Protective Covers,Aircraft Frames,3,1,"These airframes are designed for various applications, including agriculture (spraying crops, etc.) and other tasks requiring UAVs. They come in different sizes and configurations, with varying wheelbase dimensions, tank capacities, and recommended motor/battery combinations. Some models are designed for specific purposes, while others are multi-functional, adaptable to different payloads and industries. ",,55cm x 42cm x 11cm,4684,,https://drive.google.com/drive/folders/1AAkAOgZ1_ik4ygQkuX1cxeYI95R_7b5G,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
128,,910041,E610P CENTRE FRAME,5,P4,9 Frames & Protective Covers,Aircraft Frames,4,1,"The EFT E610P 10L 6 Axis Agricultural Drone Frame is a sturdy, highly precise, and simple-to-install drone frame. High Duty Drone Use due to their resilience to harsh environments",,38cm x 37cm x 13cm,2589,,https://drive.google.com/drive/folders/1pwfIQR3uq8Q7p8sWLp3hUOKnxvkstSij,,,"The allocated dimensions of bins or boxes are measured across all quantities, not just for a single quantity. Product weights hold the exact material quantity.",EFT Parts,
